mysql> select * from extractLogInfo;
+-----+-----------------------------------------------------------------------------------------------+-----------+--------+
| ID  | msg                                                                                           | logInfoID | dictID |
+-----+-----------------------------------------------------------------------------------------------+-----------+--------+
|   1 |  Started Session 1259 of user root.                                                           |      7057 |      1 |
|   2 | Started Session 1259 of user root.                                                            |      7058 |      1 |
|   3 |  Starting Session 1259 of user root.                                                          |      7059 |      1 |
|   4 | Starting Session 1259 of user root.                                                           |      7060 |      1 |
|   5 |  Started Session 1258 of user root.                                                           |      7061 |      1 |
|   6 | Started Session 1258 of user root.                                                            |      7062 |      1 |
|   7 |  Starting Session 1258 of user root.                                                          |      7063 |      2 |
|   8 | Starting Session 1258 of user root.                                                           |      7064 |      2 |
|   9 |  (root) CMD (ntpdate 0.asia.pool.ntp.org)                                                     |      7065 |      3 |
|  10 | (root) CMD (ntpdate 0.asia.pool.ntp.org)                                                      |      7066 |      3 |
|  11 |  (root) CMD (/usr/lib64/sa/sa1 1 1)                                                           |      7067 |      4 |
|  12 | (root) CMD (/usr/lib64/sa/sa1 1 1)                                                            |      7068 |      4 |
|  13 |  (root) CMDOUT (/bin/sh: ntpdate: command not found)                                          |      7069 |      5 |
|  14 | (root) CMDOUT (/bin/sh: ntpdate: command not found)                                           |      7070 |      5 |
|  15 | -- MARK --                                                                                    |      7071 |      6 |
|  16 |  Job `cron.daily' started                                                                     |      7072 |      7 |
|  17 | Job `cron.daily' started                                                                      |      7073 |      7 |
|  18 |  starting 0yum-daily.cron                                                                     |      7074 |      8 |
|  19 | starting 0yum-daily.cron                                                                      |      7075 |      8 |
|  20 |  finished 0yum-daily.cron                                                                     |      7076 |      9 |
|  21 | finished 0yum-daily.cron                                                                      |      7077 |      9 |
|  22 |  starting logrotate                                                                           |      7078 |     10 |
|  23 | starting logrotate                                                                            |      7079 |     10 |
|  24 |  finished logrotate                                                                           |      7080 |     11 |
|  25 | finished logrotate                                                                            |      7081 |     11 |
|  26 |  starting man-db.cron                                                                         |      7082 |     12 |
|  27 | starting man-db.cron                                                                          |      7083 |     12 |
|  28 |  finished man-db.cron                                                                         |      7084 |     13 |
|  29 | finished man-db.cron                                                                          |      7085 |     13 |
